origen_id,destino_id,rank_ruta,volumen_historico,peso_maestro_eph,start_lon,start_lat,end_lon,end_lat,edge_betweenness,edge_closeness,edge_pagerank,masa_economica,eph_maestro
agwa_bezares,polanco_uber_hq,1,1.0,5881.174574385263,-99.24900442945956,19.38663135993909,-99.20999213460937,19.43649697481036,0.3434650455927052,0.8766433164477603,0.4887661018434014,5881.1745743852625,5881.1745743852625
agwa_bezares,santa_fe_tec,2,99.0,303.1074344771158,-99.24900442945956,19.38663135993909,-99.2587210748181,19.3595280300666,0.0030395136778115,0.8766433164477603,0.4887661018434014,30007.636013234467,303.1074344771158
agwa_bezares,santa_fe_bosques_de,3,28.0,302.65052248993834,-99.24900442945956,19.38663135993909,-99.27175861036709,19.35128145142116,0.0030395136778115,0.8769285334279127,0.4887661018434014,8474.214629718273,302.65052248993834
agwa_bezares,santa_fe_cumbres_de,4,26.0,298.95648810479673,-99.24900442945956,19.38663135993909,-99.26149095581826,19.34901120608616,0.0030395136778115,0.8766433164477603,0.4887661018434014,7772.868690724715,298.95648810479673
agwa_bezares,cruce_echanove,5,532.0,224.09428907310823,-99.24900442945956,19.38663135993909,-99.27875789244648,19.366765417540147,0.0030395136778115,0.8764878005143829,0.4887661018434014,119218.16178689359,224.09428907310826
agwa_bezares,carretera_al_olivo,6,21.0,222.24404694740355,-99.24900442945956,19.38663135993909,-99.27946448261554,19.378125840718912,0.0030395136778115,0.8764878005143829,0.4887661018434014,4667.124985895474,222.24404694740355
agwa_bezares,carretera_libre,7,79.0,220.6131232870098,-99.24900442945956,19.38663135993909,-99.27215375907863,19.36892817208415,0.0030395136778115,0.8764878005143829,0.4887661018434014,17428.436739673776,220.6131232870098
agwa_bezares,sotelo,8,196.0,219.0672391132348,-99.24900442945956,19.38663135993909,-99.21499282484368,19.44840872221721,0.0030395136778115,0.8766433164477603,0.4887661018434014,42937.17886619402,219.06723911323482
agwa_bezares,vistahermosa,9,75.0,217.6383431973859,-99.24900442945956,19.38663135993909,-99.27042163532596,19.37671602456989,0.0030395136778115,0.8764878005143829,0.4887661018434014,16322.875739803942,217.6383431973859
agwa_bezares,reforma_bnp,10,57.0,216.50782467474107,-99.24900442945956,19.38663135993909,-99.24347411037613,19.38597442537458,0.0030395136778115,0.8764878005143829,0.4887661018434014,12340.94600646024,216.50782467474107
agwa_bezares,agwa_bezares,11,118.0,212.8869785831042,-99.24900442945956,19.38663135993909,-99.24900442945956,19.38663135993909,0.0,0.8763323397480625,0.4887661018434014,25120.663472806296,212.8869785831042
