origen_id,destino_id,rank_ruta,volumen_historico,peso_maestro_eph,start_lon,start_lat,end_lon,end_lat,edge_betweenness,edge_closeness,edge_pagerank
agwa_bezares,polanco_uber_hq,1,1.0,5881.174574385263,-99.24900442945956,19.38663135993909,-99.20999213460937,19.43649697481036,0.3434650455927052,0.8766433164477603,0.48876610184340147
agwa_bezares,santa_fe_tec,2,99.0,303.1074344771158,-99.24900442945956,19.38663135993909,-99.2587210748181,19.3595280300666,0.00303951367781155,0.8766433164477603,0.48876610184340147
agwa_bezares,santa_fe_bosques_de,3,28.0,302.65052248993834,-99.24900442945956,19.38663135993909,-99.27175861036709,19.35128145142116,0.00303951367781155,0.8769285334279127,0.48876610184340147
agwa_bezares,santa_fe_cumbres_de,4,26.0,298.95648810479673,-99.24900442945956,19.38663135993909,-99.26149095581826,19.34901120608616,0.00303951367781155,0.8766433164477603,0.48876610184340147
agwa_bezares,cruce_echanove,5,532.0,224.09428907310823,-99.24900442945956,19.38663135993909,-99.27875789244648,19.366765417540147,0.00303951367781155,0.8764878005143829,0.48876610184340147
agwa_bezares,carretera_al_olivo,6,21.0,222.24404694740355,-99.24900442945956,19.38663135993909,-99.27946448261554,19.378125840718912,0.00303951367781155,0.8764878005143829,0.48876610184340147
agwa_bezares,carretera_libre,7,79.0,220.6131232870098,-99.24900442945956,19.38663135993909,-99.27215375907863,19.36892817208415,0.00303951367781155,0.8764878005143829,0.48876610184340147
agwa_bezares,sotelo,8,196.0,219.0672391132348,-99.24900442945956,19.38663135993909,-99.21499282484368,19.44840872221721,0.00303951367781155,0.8766433164477603,0.48876610184340147
agwa_bezares,vistahermosa,9,75.0,217.6383431973859,-99.24900442945956,19.38663135993909,-99.27042163532596,19.376716024569895,0.00303951367781155,0.8764878005143829,0.48876610184340147
agwa_bezares,reforma_bnp,10,57.0,216.50782467474107,-99.24900442945956,19.38663135993909,-99.24347411037613,19.38597442537458,0.00303951367781155,0.8764878005143829,0.48876610184340147
agwa_bezares,agwa_bezares,11,118.0,212.8869785831042,-99.24900442945956,19.38663135993909,-99.24900442945956,19.38663135993909,0.0,0.8763323397480625,0.48876610184340147
agwa_bezares,polanco_parque_lincoln,12,169.0,207.6723941922738,-99.24900442945956,19.38663135993909,-99.19708274657825,19.428901410281373,0.0060790273556231,0.8766433164477603,0.48876610184340147
agwa_bezares,sante_fe_patio,13,289.0,206.91009266915736,-99.24900442945956,19.38663135993909,-99.25349395128733,19.375588657788654,0.0,0.8764878005143829,0.48876610184340147
agwa_bezares,tecamachalco,14,38.0,199.17594145557828,-99.24900442945956,19.38663135993909,-99.22956583072396,19.424708865478244,0.0,0.8764878005143829,0.48876610184340147
agwa_bezares,de_las_fuentes,15,139.0,198.77518122121927,-99.24900442945956,19.38663135993909,-99.23731115865844,19.42036925767831,0.0,0.8764878005143829,0.48876610184340147
agwa_bezares,santa_fe_quintana,16,50.0,197.4263329467321,-99.24900442945956,19.38663135993909,-99.24989702017496,19.36964298703847,0.0,0.8764878005143829,0.48876610184340147
