origen_id,destino_id,rank_ruta,volumen_historico,peso_maestro_eph,start_lon,start_lat,end_lon,end_lat
agwa_bezares,polanco_uber_hq,1,1.0,5881.1745743852625,-99.24900442945957,19.38663135993909,-99.20999213460935,19.43649697481036
agwa_bezares,santa_fe_tec,2,99.0,303.1074344771158,-99.24900442945957,19.38663135993909,-99.2587210748181,19.359528030066596
agwa_bezares,santa_fe_bosques_de,3,28.0,302.65052248993834,-99.24900442945957,19.38663135993909,-99.27175861036709,19.35128145142116
agwa_bezares,santa_fe_cumbres_de,4,26.0,298.95648810479673,-99.24900442945957,19.38663135993909,-99.26149095581826,19.349011206086157
agwa_bezares,cruce_echanove,5,532.0,224.09428907310826,-99.24900442945957,19.38663135993909,-99.27875789244648,19.366765417540147
agwa_bezares,carretera_al_olivo,6,21.0,222.24404694740355,-99.24900442945957,19.38663135993909,-99.27946448261554,19.378125840718912
agwa_bezares,carretera_libre,7,79.0,220.6131232870098,-99.24900442945957,19.38663135993909,-99.27215375907865,19.36892817208415
agwa_bezares,sotelo,8,196.0,219.06723911323482,-99.24900442945957,19.38663135993909,-99.21499282484368,19.448408722217206
agwa_bezares,vistahermosa,9,75.0,217.6383431973859,-99.24900442945957,19.38663135993909,-99.27042163532597,19.376716024569898
agwa_bezares,reforma_bnp,10,57.0,216.50782467474107,-99.24900442945957,19.38663135993909,-99.24347411037611,19.38597442537458
agwa_bezares,agwa_bezares,11,118.0,212.8869785831042,-99.24900442945957,19.38663135993909,-99.24900442945957,19.38663135993909
agwa_bezares,polanco_parque_lincoln,12,169.0,207.6723941922738,-99.24900442945957,19.38663135993909,-99.19708274657825,19.428901410281373
agwa_bezares,sante_fe_patio,13,289.0,206.91009266915736,-99.24900442945957,19.38663135993909,-99.25349395128733,19.375588657788658
agwa_bezares,tecamachalco,14,38.0,199.17594145557828,-99.24900442945957,19.38663135993909,-99.22956583072396,19.424708865478244
agwa_bezares,de_las_fuentes,15,139.0,198.77518122121927,-99.24900442945957,19.38663135993909,-99.23731115865843,19.42036925767831
agwa_bezares,santa_fe_quintana,16,50.0,197.42633294673206,-99.24900442945957,19.38663135993909,-99.24989702017497,19.36964298703847
agwa_bezares,tamarindos,17,344.0,196.52316476924017,-99.24900442945957,19.38663135993909,-99.25657356707457,19.38575442430784
agwa_bezares,lomas_trastevere,18,200.0,195.48501884304903,-99.24900442945957,19.38663135993909,-99.21319156618179,19.418833952452264
agwa_bezares,lomas_prado_norte,19,158.0,193.61577475694924,-99.24900442945957,19.38663135993909,-99.21221227686004,19.426802777070936
agwa_bezares,santa_fe_centro_comercial,20,716.0,191.48728075322583,-99.24900442945957,19.38663135993909,-99.27452824250766,19.35909839502836
agwa_bezares,ahuehuetes_sur,21,366.0,190.38159714337556,-99.24900442945957,19.38663135993909,-99.2441073831352,19.40052159766137
agwa_bezares,lomas_fc_cuernavaca,22,172.0,181.63944204857893,-99.24900442945957,19.38663135993909,-99.20769773996038,19.428952545881838
ahuehuetes_norte,roma_condesa_1,1,85.0,265.08025480107295,-99.24577865828583,19.405377077187154,-99.17254505223933,19.41842002454529
ahuehuetes_norte,lomas_olimpo,2,9.0,260.72578343680055,-99.24577865828583,19.405377077187154,-99.21579158596154,19.425952919985818
ahuehuetes_norte,nodo_monte_libano,3,60.0,254.92294588081916,-99.24577865828583,19.405377077187154,-99.22775787154656,19.42068203941582
ahuehuetes_norte,lomas_barrilaco,4,34.0,253.58871593388903,-99.24577865828583,19.405377077187154,-99.22168073798956,19.42002371932811
ahuehuetes_norte,anzures,5,83.0,246.76489258252232,-99.24577865828583,19.405377077187154,-99.17827334839684,19.431484247192568
ahuehuetes_norte,loma_de_la_palma,6,48.0,235.64063375225018,-99.24577865828583,19.405377077187154,-99.2716599233325,19.385898929960657
ahuehuetes_norte,ave_club_de_golf_lomas,7,5.0,235.42301249069402,-99.24577865828583,19.405377077187154,-99.28091970167468,19.401253668149664
ahuehuetes_norte,bosques_pabellon,8,259.0,231.5270884836281,-99.24577865828583,19.405377077187154,-99.26237205113314,19.39081057167338
ahuehuetes_norte,bosque_3,9,69.0,228.74498535490375,-99.24577865828583,19.405377077187154,-99.21288032848125,19.406363265085393
ahuehuetes_norte,sotelo,10,163.0,227.52000734742256,-99.24577865828583,19.405377077187154,-99.21499282484368,19.448408722217206
ahuehuetes_norte,bosque_2,11,41.0,227.0281994649185,-99.24577865828583,19.405377077187154,-99.1993852040483,19.41472205113683
ahuehuetes_norte,el_olivo,12,38.0,224.14765016981892,-99.24577865828583,19.405377077187154,-99.27744135324596,19.38735328963119
ahuehuetes_norte,vialidad_de_la_barranca,13,129.0,221.17990473811662,-99.24577865828583,19.405377077187154,-99.28056454184697,19.393200459164007
ahuehuetes_norte,interlomas_magnocentro,14,217.0,219.10477277825566,-99.24577865828583,19.405377077187154,-99.27313998603957,19.40328714404757
ahuehuetes_norte,santa_fe_ibero,15,215.0,218.97279892477277,-99.24577865828583,19.405377077187154,-99.26311562221406,19.36882267011668
ahuehuetes_norte,blvrd_anahuac,16,83.0,218.29636054006218,-99.24577865828583,19.405377077187154,-99.27341980622991,19.394441131049383
ahuehuetes_norte,bondojito_asf,17,48.0,217.49858009517297,-99.24577865828583,19.405377077187154,-99.20557228346966,19.399846141308945
ahuehuetes_norte,de_los_bosques,18,209.0,210.9248155081851,-99.24577865828583,19.405377077187154,-99.25060045130309,19.410038128617952
ahuehuetes_norte,universidad_anahuac,19,393.0,210.39086517992382,-99.24577865828583,19.405377077187154,-99.26196651649354,19.403197161504146
ahuehuetes_norte,ahuehuetes_norte,20,239.0,205.10111452697407,-99.24577865828583,19.405377077187154,-99.24577865828583,19.405377077187154
ahuehuetes_norte,reforma_social,21,24.0,203.34367361473207,-99.24577865828583,19.405377077187154,-99.22069156982485,19.43050178811614
ahuehuetes_norte,carso_antara_miyana,22,385.0,203.00748221202414,-99.24577865828583,19.405377077187154,-99.20211710257206,19.442004608729604
ahuehuetes_norte,fuentes_casino,23,45.0,200.79527418162482,-99.24577865828583,19.405377077187154,-99.22371992163639,19.42840243888597
ahuehuetes_norte,sedena,24,30.0,197.71459756989347,-99.24577865828583,19.405377077187154,-99.21906305611301,19.435677259940665
ahuehuetes_norte,reforma_regina,25,15.0,194.357305466633,-99.24577865828583,19.405377077187154,-99.23638838229803,19.399395057427363
ahuehuetes_norte,lomas_altas,26,68.0,194.02568311458546,-99.24577865828583,19.405377077187154,-99.22850054071674,19.39807062039452
ahuehuetes_norte,agwa_bezares,27,57.0,193.5122868063203,-99.24577865828583,19.405377077187154,-99.24900442945957,19.38663135993909
ahuehuetes_norte,reforma_bnp,28,32.0,192.70395197260476,-99.24577865828583,19.405377077187154,-99.24347411037611,19.38597442537458
ahuehuetes_norte,nodo_reforma_palmas,29,19.0,191.6959082649783,-99.24577865828583,19.405377077187154,-99.22578511279754,19.40923435094901
ahuehuetes_norte,santa_fe_centro_comercial,30,296.0,191.47366412437998,-99.24577865828583,19.405377077187154,-99.27452824250766,19.35909839502836
ahuehuetes_norte,ahuehuetes_sur,31,447.0,188.26176797269946,-99.24577865828583,19.405377077187154,-99.2441073831352,19.40052159766137
ahuehuetes_norte,anahuac_1,32,120.0,187.02982746409722,-99.24577865828583,19.405377077187154,-99.18012525362312,19.44015083562541
ahuehuetes_norte,vistahermosa,33,27.0,186.2431106211086,-99.24577865828583,19.405377077187154,-99.27042163532597,19.376716024569898
ahuehuetes_norte,frontera_polanco,34,90.0,185.67594222491357,-99.24577865828583,19.405377077187154,-99.1898883102344,19.442915975401075
ahuehuetes_norte,bosque_1,35,31.0,179.58951555067813,-99.24577865828583,19.405377077187154,-99.18700051993727,19.4196359510427
ahuehuetes_norte,bahias,36,93.0,179.07085741336,-99.24577865828583,19.405377077187154,-99.17444417079076,19.436342631674787
